"yr","site","rain.mean.yr","rain.sum.yr","rain.sum.win","rain.sum.spr","rain.sum.sum","rain.sum.fal","rain.mean.win","rain.mean.spr","rain.mean.sum","rain.mean.fal","rainy.season2.sum","rainy.season2.mean"
1999,"scrub",51.3148984909057,615.778781890869,111.563501358032,135.036346435547,155.732036590576,213.446897506713,37.1878337860107,45.0121154785156,51.9106788635254,71.1489658355712,286.849853515625,95.6166178385416
2000,"broadleaf",36.3264555931092,435.91746711731,43.9037761688233,97.7218933105469,181.713680267334,112.578117370605,14.6345920562744,32.573964436849,60.5712267557781,37.5260391235352,197.737224578858,65.9124081929526
2000,"Lloyd",67.7056422233581,812.467706680298,48.6329593658447,171.955425262451,393.790504455566,198.088817596436,16.2109864552816,57.3184750874837,131.263501485189,66.0296058654785,369.318172454834,123.106057484945
2000,"scrub",33.4423003196716,401.30760383606,64.915662765503,88.2890510559082,152.590272903442,95.512617111206,21.6385542551677,29.4296836853027,50.8634243011474,31.8375390370687,157.777540206909,52.592513402303
2001,"broadleaf",49.1900986830393,590.281184196472,54.3350868225098,206.162766456603,188.904064178467,140.879266738892,18.1116956075033,68.7209221522012,62.9680213928223,46.9597555796305,235.765316009522,78.5884386698406
2001,"Lloyd",86.8312527338664,1041.9750328064,59.8243103027344,364.097015380859,359.635925292969,258.417781829834,19.9414367675781,121.36567179362,119.878641764323,86.1392606099448,438.721916198731,146.24063873291
2001,"scrub",43.5404867331187,522.485840797425,77.7305774688721,171.873218536377,147.970573425293,124.911471366882,25.910192489624,57.2910728454591,49.3235244750977,41.6371571222941,184.126545906067,61.3755153020223
2002,"broadleaf",40.9141862392426,490.970234870911,43.621075630188,184.889869689941,188.057531356812,74.4017581939697,14.540358543396,61.6299565633138,62.6858437856039,24.8005860646566,188.603479385376,62.867826461792
2002,"Lloyd",69.4949220021566,833.939064025879,48.7597961425781,281.057342529297,363.371505737304,140.750419616699,16.2532653808594,93.685780843099,121.123835245768,46.9168065388997,345.181655883789,115.060551961263
2002,"scrub",39.520076195399,474.240914344788,62.7751255035401,176.306137084961,173.247234344483,61.9124174118042,20.9250418345134,58.7687123616536,57.7490781148275,20.6374724706014,156.322590827942,52.1075302759807
2003,"broadleaf",47.5022296110789,570.026755332946,40.3868532180786,183.118284225463,176.424468994141,170.097148895264,13.4622844060262,61.0394280751545,58.8081563313802,56.6990496317546,177.167449951172,59.0558166503906
2003,"Lloyd",81.9920521577199,983.904625892639,43.8153734207154,245.599212646485,384.930114746093,309.559925079346,14.6051244735718,81.8664042154949,128.310038248698,103.186641693115,350.354900360107,116.784966786702
2003,"scrub",44.9273099899291,539.12771987915,59.5973796844482,170.772172927856,159.834674835205,148.923492431641,19.8657932281494,56.9240576426186,53.2782249450683,49.6411641438802,137.399127960205,45.7997093200683
2004,"broadleaf",51.6356509526571,619.627811431885,60.7048797607422,206.463499069214,234.538711547851,117.920721054077,20.2349599202474,68.8211663564047,78.1795705159504,39.3069070180257,260.196445465087,86.7321484883625
2004,"Lloyd",89.0926578839621,1069.11189460755,69.8371410369872,377.611232757569,407.08423614502,214.579284667969,23.2790470123291,125.87041091919,135.694745381673,71.5264282226564,437.923652648927,145.974550882976
2004,"scrub",51.1372097333272,613.646516799927,88.9664535522461,190.381471633911,222.761814117432,111.536777496338,29.6554845174154,63.460490544637,74.2539380391439,37.1789258321126,234.088510513306,78.0295035044352
2005,"broadleaf",66.6963973045349,800.356767654418,26.0918693542481,309.692176818847,195.305210113525,269.267511367798,8.69728978474935,103.230725606282,65.1017367045085,89.7558371225992,344.673225402832,114.891075134277
